source,target
1334582502921547780,1470208058961891331
2503562202,1470208058961891331
1461914101685399553,1470361646958796805
1273992725025755138,1471972072645709824
2529948888,1471972072645709824
1433783572440227840,1464642551462469637
1123486726293475329,1471972072645709824
981582600769859584,1471972072645709824
1387577764056911872,1471972072645709824
811981260,1471972072645709824
1282140397964341248,1471972072645709824
1409254473999040522,1471972072645709824
2529948888,1471972072645709824
156103388,1471972072645709824
1346955435207663620,1471971145129857029
1401858608703361027,1470208058961891331
1405575077001900040,1471972072645709824
1436877635586596864,1471972072645709824
2319084517,1471972072645709824
1314986332096262145,1471972072645709824
141432517,1471972072645709824
148873443,1471972072645709824
1463972518814003205,1471972072645709824
1453553413741023232,1471972072645709824
1318285968,1471972072645709824
1450269875860029440,1471972072645709824
1223987062476591106,1471972072645709824
332431446,1471972072645709824
2448617824,1471972072645709824
1421888437817380864,1471972072645709824
613765983,1471972072645709824
1391564369000030208,1471972072645709824
1458329072,1471972072645709824
581215032,1471972072645709824
1250146912981975043,1471972072645709824
3196732546,1471972072645709824
1179751206,1471972072645709824
1203093454856867841,1471972072645709824
590181531,1471972072645709824
940397145492017152,1464638062252679168
1388175215092543497,1471972072645709824
1388175215092543497,1471972072645709824
1469939432954413056,1471972072645709824
1392345894691950594,1471972072645709824
1205243801851383809,1471972072645709824
386050296,1471972072645709824
180907190,1471972072645709824
171713705,1471972072645709824
1313898733,1471972072645709824
720744056016478208,1471972072645709824
260397381,1471972072645709824
1384981471274967043,1471972072645709824
1405166406178676738,1471972072645709824
1407203580520579075,1471972072645709824
1008377721892888577,1471972072645709824
1579188110,1471972072645709824
220179116,1471972072645709824
791778209310318592,1471972072645709824
1456414724267069443,1471972072645709824
158484588,1471972072645709824
1312914744945315840,1471971145129857029
1454432899252555782,1471971145129857029
148468520,1471971145129857029
119534463,1471971145129857029
3146114494,1471971145129857029
1520109522,1471971145129857029
1472283020178644997,1471971145129857029
626084351,1471971145129857029
1488954648,1471971145129857029
962436013019811840,1471971145129857029
1463541582456516623,1471971145129857029
992921497089003521,1471971145129857029
849068699323703297,1471971145129857029
2677243814,1471971145129857029
1232106115187515398,1471971145129857029
2319084517,1471971145129857029
2876915608,1471971145129857029
556494616,1471971145129857029
609379203,1471971145129857029
2603786962,1471971145129857029
1460942122115375104,1471971145129857029
1232106115187515398,1471971145129857029
1247319998995013632,1471971145129857029
1288623137194737665,1471971145129857029
498910001,1471971145129857029
141375167,1471971145129857029
51426657,1471971145129857029
2419025351,1471971145129857029
184903252,1471971145129857029
252541872,1471971145129857029
997708924273897472,1471971145129857029
1453907214658375681,1471971145129857029
716684859104735232,1471971145129857029
1070852895300640773,1471971145129857029
604952582,1471971145129857029
1321897121210093568,1471971145129857029
1456074544972763138,1471971145129857029
1317123029470748673,1471971145129857029
991244418,1471971145129857029
1429547169279774723,1471971145129857029
289042386,1471971145129857029
318694892,1471971145129857029
1452012289670922242,1471971145129857029
958960459,1471971145129857029
1426016587484631042,1471971145129857029
1231754026879942656,1471971145129857029
1416180625791459328,1471971145129857029
1698912571,1471971145129857029
454225526,1471971145129857029
180992365,1471971145129857029
1056723727981916160,1471971145129857029
904115640801394690,1471971145129857029
1049815982003359744,1471971145129857029
1346955435207663620,1471971145129857029
3232416831,1471971145129857029
811981260,1471971145129857029
1250146912981975043,1471971145129857029
3232416831,1471971145129857029
631535482,1471971145129857029
342899418,1471971145129857029
1266063276615569412,1471971145129857029
70181068,1471971145129857029
67061592,1471971145129857029
813038373850017792,1471971145129857029
1240431895797805057,1471971145129857029
1391788753992228869,1471971145129857029
1458154989411520516,1471971145129857029
1300977316068233218,1471971145129857029
1300977316068233218,1471971145129857029
928325567598026756,1471971145129857029
766343620903444481,1471971145129857029
198561030,1471971145129857029
38333429,1471971145129857029
838687056,1471971145129857029
1427836356177403912,1471971145129857029
1392345894691950594,1471971145129857029
1467513225155600387,1471971145129857029
1464584946442461190,1471971145129857029
601414121,1471971145129857029
2345965023,1471971145129857029
713374416,1471971145129857029
713374416,1471971145129857029
1388175215092543497,1471971145129857029
1356998835608956932,1471971145129857029
1388175215092543497,1471971145129857029
2811323121,1463498369893031941
1403067214266257409,1471971145129857029
25630808,1471971145129857029
274824997,1471971145129857029
1389732572993757185,1471971145129857029
2361098143,1471971145129857029
736279190903922689,1471971145129857029
1467513225155600387,1471971145129857029
809769907135115264,1471971145129857029
1389732572993757185,1471971145129857029
1357810817736077313,1471971145129857029
313353309,1471971145129857029
143995099,1471971145129857029
1939207782,1471971145129857029
539210296,1471971145129857029
1255516685982973954,1471971145129857029
300149766,1471971145129857029
2744175719,1471971145129857029
1384981471274967043,1471971145129857029
1039333833781510144,1471971145129857029
1442571428474228742,1471971145129857029
1471701886214578179,1471971145129857029
21055837,1471971145129857029
2727365994,1471259239800786950
126356404,1471259239800786950
1079269316053282816,1471259239800786950
1467851746076770311,1471259239800786950
1344437566037229571,1471259239800786950
1316897507247558657,1471259239800786950
1434594221441396740,1471259239800786950
1426959869190590464,1470208058961891331
1316897507247558657,1471259239800786950
1258512815142440960,1471259239800786950
1258512815142440960,1471259239800786950
1252328695332777988,1471259239800786950
1397195988847185929,1471259239800786950
1316897507247558657,1471259239800786950
1316906791796617217,1471259239800786950
1308913740751015937,1471259239800786950
3355313668,1471259239800786950
1861062565,1471259239800786950
2209289514,1471259239800786950
499383320,1471259239800786950
1464969997260894209,1471259239800786950
2460366338,1471259239800786950
1269821594899296256,1471259239800786950
988811428953026560,1471259239800786950
2282501678,1471259239800786950
25185308,1471259239800786950
1325017290291761152,1470385522782588928
1280273255484592129,1470385522782588928
2288813028,1470385522782588928
1451977919849504770,1470385522782588928
763181249435492352,1470385522782588928
224128088,1470385522782588928
155106897,1470385522782588928
1221097353136033793,1470385522782588928
779050404,1470385522782588928
201271985,1470385522782588928
2351904883,1470208058961891331
1389081013805096961,1470208058961891331
1456232953479061506,1470208058961891331
803773754480455680,1470208058961891331
1140922152,1470208058961891331
1202245351,1470208058961891331
730170644877455361,1462834910339768329
1054666616825360385,1470208058961891331
577650876,1470208058961891331
325586608,1470208058961891331
1247221490610823174,1470208058961891331
1292504348459782145,1470208058961891331
1397195988847185929,1470208058961891331
1100755430622613504,1470208058961891331
2938932454,1470208058961891331
337328558,1470208058961891331
1326943095628423168,1470208058961891331
1078432021,1470208058961891331
1455170616030597120,1470208058961891331
865036912599470081,1470208058961891331
1011412452695830529,1470208058961891331
618512544,1470208058961891331
1455943640723959810,1470208058961891331
983170044,1470208058961891331
1356663090734063620,1470208058961891331
1463306340076556288,1470208058961891331
79079855,1470208058961891331
189371090,1470208058961891331
1426231194493112320,1470208058961891331
1402857148602847232,1470208058961891331
1345474417,1470208058961891331
1172522167801655297,1470208058961891331
1453323654113239050,1470208058961891331
826321946,1470208058961891331
4749467656,1470208058961891331
327907513,1470208058961891331
385467542,1470208058961891331
45739032,1470208058961891331
695104703152181252,1470208058961891331
390479695,1470208058961891331
3322025554,1470208058961891331
1251855665536131072,1470208058961891331
1203093454856867841,1470208058961891331
99190286,1470208058961891331
1418378078280196099,1470208058961891331
272446421,1470208058961891331
1426016587484631042,1470208058961891331
1110193139644579841,1470208058961891331
273012135,1470208058961891331
1291151688083091456,1470208058961891331
216678040,1470208058961891331
1395240570306666497,1470208058961891331
1432735179869675522,1470208058961891331
1426016587484631042,1470208058961891331
68720933,1470208058961891331
2725291580,1470208058961891331
1204025542774870016,1470208058961891331
1389964206435409922,1470208058961891331
1417603236446576641,1470208058961891331
42333440,1470208058961891331
774990820374118401,1470208058961891331
277742341,1470208058961891331
133034917,1470208058961891331
772795907398066176,1470208058961891331
555694647,1470208058961891331
1391027689377738754,1470208058961891331
1390503046174674949,1470208058961891331
806600233933295624,1470208058961891331
2908589405,1470208058961891331
249270688,1470208058961891331
230938600,1470208058961891331
1372687979022536713,1470208058961891331
1212931494789779458,1470208058961891331
62266417,1470208058961891331
248844856,1470208058961891331
1151525469751324673,1470208058961891331
1849164421,1470208058961891331
292614582,1470208058961891331
1270113409745518601,1463165079621353484
1511704586,1470208058961891331
1202258715384123392,1470208058961891331
1426891043287490562,1470208058961891331
1248093334763122689,1470208058961891331
237555150,1470208058961891331
3251935841,1470208058961891331
115734243,1470208058961891331
75884054,1470208058961891331
99617893,1470208058961891331
1264307583910846465,1470208058961891331
1325851640772038658,1470208058961891331
521623257,1470208058961891331
1387100090188316676,1470208058961891331
1280273255484592129,1470208058961891331
946312536,1470208058961891331
795325463946231808,1470208058961891331
1367863582986301442,1470208058961891331
868300549,1470208058961891331
2507699683,1470208058961891331
228813618,1470208058961891331
302398816,1470208058961891331
854768162075803649,1470208058961891331
109996458,1470208058961891331
854768162075803649,1470208058961891331
1465643732238315524,1470208058961891331
1134829560317562881,1470208058961891331
822067926,1470208058961891331
740896516001419264,1470208058961891331
1729117754,1470208058961891331
950728159489658881,1470208058961891331
1276551493169094658,1470208058961891331
710924706774384641,1470208058961891331
1241580735657578497,1470208058961891331
2327099293,1470208058961891331
155080675,1470208058961891331
319430541,1470208058961891331
1391839520170119169,1470208058961891331
355947146,1470208058961891331
87928054,1470208058961891331
485337442,1470208058961891331
1399135478423691266,1470208058961891331
1367407266,1470208058961891331
884596371243847680,1470208058961891331
240779805,1470208058961891331
1195119039183503361,1470208058961891331
1465359803409129482,1470208058961891331
1297304388,1470208058961891331
1450862758703026181,1470208058961891331
1399738871345201155,1470208058961891331
1679396268,1470208058961891331
1390657424806322187,1470208058961891331
572873975,1470208058961891331
561709364,1470208058961891331
1293751161070260224,1470208058961891331
541067666,1470208058961891331
1019912326647107585,1470208058961891331
224685897,1470208058961891331
811256885642989568,1470208058961891331
994720230793535494,1470208058961891331
1887225738,1470208058961891331
952211373098000384,1470208058961891331
241263317,1470208058961891331
366673109,1470208058961891331
