source,target
1470633537984471044,1470208058961891331
1470628243338416130,1470208058961891331
1470478758989729800,1470361646958796805
1472008937679560706,1471972072645709824
1472004668532342785,1471972072645709824
1464643008008273925,1464642551462469637
1472004563582570506,1471972072645709824
1472004194655776768,1471972072645709824
1472003835468324867,1471972072645709824
1471999213571559430,1471972072645709824
1471998073144553479,1471972072645709824
1471994797225295872,1471972072645709824
1471994570598670336,1471972072645709824
1471994113163735044,1471972072645709824
1472025153949343746,1471971145129857029
1470728694335426560,1470208058961891331
1472282740230098944,1471972072645709824
1472239560449044487,1471972072645709824
1472238791939313682,1471972072645709824
1472219969643417601,1471972072645709824
1472207852324499460,1471972072645709824
1472205485952622602,1471972072645709824
1472203372270923778,1471972072645709824
1472187795464667143,1471972072645709824
1472184635820019714,1471972072645709824
1472168354425323523,1471972072645709824
1472059661071302658,1471972072645709824
1472047933600276482,1471972072645709824
1472041896767860741,1471972072645709824
1472041404788584452,1471972072645709824
1472034477522231300,1471972072645709824
1472026995861213191,1471972072645709824
1472026429231673348,1471972072645709824
1472023697141780484,1471972072645709824
1472018060307578888,1471972072645709824
1472016527658467331,1471972072645709824
1472011534016696320,1471972072645709824
1472010798369325065,1471972072645709824
1472010450691059712,1471972072645709824
1464824229120069633,1464638062252679168
1471988748770545670,1471972072645709824
1471988672337743872,1471972072645709824
1471984943043600389,1471972072645709824
1471984018430308354,1471972072645709824
1471983928391176204,1471972072645709824
1471983794622193670,1471972072645709824
1471981318439329797,1471972072645709824
1471981051656429569,1471972072645709824
1471978539503308801,1471972072645709824
1471978491465945096,1471972072645709824
1471976269810212865,1471972072645709824
1471973766834139136,1471972072645709824
1471973479264178180,1471972072645709824
1471973294417055745,1471972072645709824
1471973277363023882,1471972072645709824
1471973217137041415,1471972072645709824
1471973216935497729,1471972072645709824
1471972804367196163,1471972072645709824
1471972772523958276,1471972072645709824
1471972577807581188,1471972072645709824
1472329254771822595,1471971145129857029
1472328365705248772,1471971145129857029
1472325167317721088,1471971145129857029
1472312531695845376,1471971145129857029
1472310886958313483,1471971145129857029
1472300708246478856,1471971145129857029
1472297694077063175,1471971145129857029
1472288354851033093,1471971145129857029
1472273567555465218,1471971145129857029
1472269879344566274,1471971145129857029
1472255524955635721,1471971145129857029
1472248733517684736,1471971145129857029
1472243060050440201,1471971145129857029
1472242296242552852,1471971145129857029
1472242033221943307,1471971145129857029
1472238710791938058,1471971145129857029
1472233441827733514,1471971145129857029
1472229363257167876,1471971145129857029
1472222929652002826,1471971145129857029
1472219297657331722,1471971145129857029
1472214390913085446,1471971145129857029
1472199513104437252,1471971145129857029
1472199434498985989,1471971145129857029
1472190018349379594,1471971145129857029
1472189257913667592,1471971145129857029
1472188608165597186,1471971145129857029
1472186287088181253,1471971145129857029
1472172654031474701,1471971145129857029
1472164563768549382,1471971145129857029
1472159070723493896,1471971145129857029
1472158970970214400,1471971145129857029
1472155191839498249,1471971145129857029
1472147743841964035,1471971145129857029
1472127025724940291,1471971145129857029
1472121014133927942,1471971145129857029
1472117202325278726,1471971145129857029
1472082772915281921,1471971145129857029
1472078371882471427,1471971145129857029
1472074465555226632,1471971145129857029
1472071245961338880,1471971145129857029
1472065749279809539,1471971145129857029
1472064217142415360,1471971145129857029
1472056610625359873,1471971145129857029
1472056218986319872,1471971145129857029
1472055620421529601,1471971145129857029
1472051296119279618,1471971145129857029
1472050124381696009,1471971145129857029
1472049685456203779,1471971145129857029
1472041896964939776,1471971145129857029
1472041134117502976,1471971145129857029
1472035887953453056,1471971145129857029
1472032130670727170,1471971145129857029
1472026943650504705,1471971145129857029
1472026412282486786,1471971145129857029
1472019137379680257,1471971145129857029
1472018985982046209,1471971145129857029
1472018497383415811,1471971145129857029
1472017400795213831,1471971145129857029
1472017398723227659,1471971145129857029
1472016638098788353,1471971145129857029
1472009183990059010,1471971145129857029
1472007957462274057,1471971145129857029
1472004477658013697,1471971145129857029
1472003749770051586,1471971145129857029
1472003605318221826,1471971145129857029
1472003552184872969,1471971145129857029
1472000449062576129,1471971145129857029
1472000364543193092,1471971145129857029
