source,target
1334582502921547780,25185308
2503562202,25185308
1461914101685399553,262814659
1273992725025755138,49849732
2529948888,49849732
1433783572440227840,262814659
1123486726293475329,49849732
981582600769859584,49849732
1387577764056911872,49849732
811981260,49849732
1282140397964341248,49849732
1409254473999040522,49849732
2529948888,49849732
156103388,49849732
1346955435207663620,49849732
1401858608703361027,25185308
1405575077001900040,49849732
1436877635586596864,49849732
2319084517,49849732
1314986332096262145,49849732
141432517,49849732
148873443,49849732
1463972518814003205,49849732
1453553413741023232,49849732
1318285968,49849732
1450269875860029440,49849732
1223987062476591106,49849732
332431446,49849732
2448617824,49849732
1421888437817380864,49849732
613765983,49849732
1391564369000030208,49849732
1458329072,49849732
581215032,49849732
1250146912981975043,49849732
3196732546,49849732
1179751206,49849732
1203093454856867841,49849732
590181531,49849732
940397145492017152,262814659
1388175215092543497,49849732
1388175215092543497,49849732
1469939432954413056,49849732
1392345894691950594,49849732
1205243801851383809,49849732
386050296,49849732
180907190,49849732
171713705,49849732
1313898733,49849732
720744056016478208,49849732
260397381,49849732
1384981471274967043,49849732
1405166406178676738,49849732
1407203580520579075,49849732
1008377721892888577,49849732
1579188110,49849732
220179116,49849732
791778209310318592,49849732
1456414724267069443,49849732
158484588,49849732
1312914744945315840,49849732
1454432899252555782,49849732
148468520,49849732
119534463,49849732
3146114494,49849732
1520109522,49849732
1472283020178644997,49849732
626084351,49849732
1488954648,49849732
962436013019811840,49849732
1463541582456516623,49849732
992921497089003521,49849732
849068699323703297,49849732
2677243814,49849732
1232106115187515398,49849732
2319084517,49849732
2876915608,49849732
556494616,49849732
609379203,49849732
2603786962,49849732
1460942122115375104,49849732
1232106115187515398,49849732
1247319998995013632,49849732
1288623137194737665,49849732
498910001,49849732
141375167,49849732
51426657,49849732
2419025351,49849732
184903252,49849732
252541872,49849732
997708924273897472,49849732
1453907214658375681,49849732
716684859104735232,49849732
1070852895300640773,49849732
604952582,49849732
1321897121210093568,49849732
1456074544972763138,49849732
1317123029470748673,49849732
991244418,49849732
1429547169279774723,49849732
289042386,49849732
318694892,49849732
1452012289670922242,49849732
958960459,49849732
1426016587484631042,49849732
1231754026879942656,49849732
1416180625791459328,49849732
1698912571,49849732
454225526,49849732
180992365,49849732
1056723727981916160,49849732
904115640801394690,49849732
1049815982003359744,49849732
1346955435207663620,49849732
3232416831,49849732
811981260,49849732
1250146912981975043,49849732
3232416831,49849732
631535482,49849732
342899418,49849732
1266063276615569412,49849732
70181068,49849732
67061592,49849732
813038373850017792,49849732
1240431895797805057,49849732
1391788753992228869,49849732
1458154989411520516,49849732
1300977316068233218,49849732
1300977316068233218,49849732
928325567598026756,49849732
766343620903444481,49849732
198561030,49849732
38333429,49849732
838687056,49849732
